"date","close","open","high","low","volume","change"
"26/08/2022","4.205,00","4.114,00","4.118,79","4.080,00","1,09K","-0,05"
"25/08/2022","4.207,00","4.116,00","4.116,00","4.080,00","1,11K","-0,02"
"24/08/2022","4.208,00","4.115,00","4.116,00","4.085,00","1,12K","0,01"
"23/08/2022","4.207,50","4.101,81","4.117,83","4.090,00","0,63K","2,58"
"22/08/2022","4.101,81","4.110,00","4.110,00","4.085,00","0,02K","-0,56"
"19/08/2022","4.125,00","4.110,00","4.154,70","4.080,00","0,71K","-1,90"
"18/08/2022","4.205,00","4.097,60","4.154,70","4.080,00","0,61K","2,62"
"17/08/2022","4.097,60","4.107,59","4.111,70","4.085,00","0,03K","-0,34"
"16/08/2022","4.111,70","4.111,70","4.111,70","4.070,00","0,02K","0,16"
"15/08/2022","4.105,00","4.096,70","4.111,74","4.060,00","0,02K","0,20"
"12/08/2022","4.096,70","4.115,00","4.115,00","4.060,00","0,27K","-2,63"
"11/08/2022","4.207,50","4.115,00","4.115,00","4.059,00","0,88K","0,00"
"10/08/2022","4.207,50","4.116,00","4.150,00","4.097,02","1,09K","-0,01"
"09/08/2022","4.208,00","4.110,00","4.150,00","4.075,00","1,09K","0,07"
"08/08/2022","4.205,00","4.105,00","4.140,00","4.075,00","0,58K","-0,13"
"05/08/2022","4.210,50","4.121,00","4.121,00","4.075,00","1,08K","0,00"
"04/08/2022","4.210,50","4.114,30","4.140,00","4.097,62","1,04K","0,08"
"03/08/2022","4.207,15","4.114,30","4.140,00","4.096,14","0,91K","0,00"
"02/08/2022","4.207,15","4.115,00","4.120,00","4.068,00","0,85K","-0,01"
"01/08/2022","4.207,50","4.095,29","4.130,00","4.094,14","0,62K","-0,05"
"29/07/2022","4.209,75","4.125,15","4.140,00","4.087,00","1,18K","-0,07"
"28/07/2022","4.212,58","4.126,60","4.126,60","4.093,29","0,92K","-0,02"
"27/07/2022","4.213,30","4.125,20","4.126,60","4.090,00","0,75K","0,02"
"26/07/2022","4.212,60","4.121,50","4.125,20","4.092,69","0,86K","0,04"
"25/07/2022","4.210,75","4.125,00","4.125,00","4.092,95","0,62K","-0,04"
"22/07/2022","4.212,50","4.110,00","4.126,00","4.097,91","0,34K","0,18"
